release_year,release_date_file1,title_file1,genre_file1,international_box_office,domestic_box_office,worldwide_box_office,production_budget,opening_weekend,theatre_count,avg run per theatre,runtime_file1,keywords,creative_type,url_file1,movie_key,url_file2,title_file2,studio,rating,runtime_file2,cast,director,genre_file2,summary,awards,metascore,userscore,release_date_file2
2001,,Antitrust,Thriller/Suspense,6900000.0,10965209.0,17865209.0,30000000.0,5486209.0,2433.0,3.1,,,Contemporary Fiction,https://www.the-numbers.com/movie/Antitrust,antitrust_2001,https://www.metacritic.com/movie/antitrust,Antitrust,MGM Distribution,| PG-13,109.0,"Ryan Phillippe,Tim Robbins",Peter Howitt,"Drama,Thriller","A relentless suspense thriller that enters the hidden world where the rich and the brilliant collide, where a handful of bright, driven young men and women have the means to make or break the technology that will dominate the global economy.  (MGM)",#68MostDiscussedMovieof2001,31,8.7,2001-01-12
2000,,Santitos,,,378562.0,,,,,,105.0,,,https://www.the-numbers.com/movie/Santitos,santitos_2000,https://www.metacritic.com/movie/santitos,Santitos,New Yorker Films,| R,105.0,,Alejandro Springall,"Drama,Comedy",Alejandro Springall directs this Spanish-language film about a pious widow Esperanza (Heredia) who uses magic to try and locate her lost and presumed dead daughter who she believes was the victim of a mysterious virus and all kinds of other lurid happeni,,68,,2000-01-28
2002,,A Walk to Remember,Drama,4833792.0,41227069.0,46060861.0,11000000.0,12177488.0,2411.0,5.3,,Coming of Age,Contemporary Fiction,https://www.the-numbers.com/movie/Walk-to-Remember-A,a walk to remember_2002,https://www.metacritic.com/movie/a-walk-to-remember,A Walk to Remember,Warner Bros. Pictures,| PG,101.0,"Mandy Moore,Shane West",Adam Shankman,"Drama,Romance","Set in the lowlands of North Carolina, this story follows the rite of passage of a jaded, aimless high school senior (West) as he falls in love with a guileless young woman (Moore) he and his friends once scorned.  (Warner Brothers)","#28MostDiscussedMovieof2002 , #10MostSharedMovieof2002",35,8.3,2002-01-25
2008,,The Killing of John Lennon,Drama,,6975.0,,,3077.0,1.0,3.0,,,Dramatization,https://www.the-numbers.com/movie/Killing-of-John-Lennon-The,the killing of john lennon_2008,https://www.metacritic.com/movie/the-killing-of-john-lennon,The Killing of John Lennon,IFC Films,,114.0,Jonas Ball,Andrew Piddington,"Drama,Crime",,,49,6.4,2008-01-02
2008,,Mad Money,Comedy,4375214.0,20668843.0,25044057.0,22000000.0,7736452.0,2470.0,3.4,104.0,Heist,Contemporary Fiction,https://www.the-numbers.com/movie/Mad-Money,mad money_2008,https://www.metacritic.com/movie/mad-money,Mad Money,Overture Films,| PG-13,104.0,"Diane Keaton,Katie Holmes,Queen Latifah",Callie Khouri,"Thriller,Comedy,Romance,Crime",,,41,6.4,2008-01-18
2008,,Over Her Dead Body,Comedy,14025947.0,7570127.0,21596074.0,10000000.0,4025115.0,1977.0,2.3,95.0,Haunting,Fantasy,https://www.the-numbers.com/movie/Over-Her-Dead-Body,over her dead body_2008,https://www.metacritic.com/movie/over-her-dead-body,Over Her Dead Body,New Line Cinema,| PG-13,95.0,"Eva Longoria Parker,Lake Bell,Paul Rudd",Jeff Lowell,"Fantasy,Comedy,Romance",,,30,5.1,2008-02-01
2008,,The Other Boleyn Girl,Drama,51455013.0,26814957.0,78269970.0,40000000.0,8203061.0,1166.0,5.9,115.0,Royalty,Historical Fiction,https://www.the-numbers.com/movie/Other-Boleyn-Girl-The,the other boleyn girl_2008,https://www.metacritic.com/movie/the-other-boleyn-girl,The Other Boleyn Girl,Columbia Pictures,| PG-13,115.0,"Eric Bana,Natalie Portman,Scarlett Johansson",Justin Chadwick,"Biography,Drama,History,Romance",,#84MostSharedMovieof2008,50,6.3,2008-02-29
2011,,Pariah,Drama,,769552.0,,,48579.0,4.0,6.8,86.0,LGBTQ+,Contemporary Fiction,https://www.the-numbers.com/movie/Pariah-(2011),pariah_2011,https://www.metacritic.com/movie/pariah,Pariah,Focus Features,| R,86.0,,Dee Rees,Drama,,#44BestMovieof2011,79,6.2,2011-12-28
2011,,War Horse,Drama,76932170.0,79883359.0,156815529.0,70000000.0,7515402.0,2376.0,6.3,146.0,World War I,Contemporary Fiction,https://www.the-numbers.com/movie/War-Horse,war horse_2011,https://www.metacritic.com/movie/war-horse,War Horse,Walt Disney Studios Motion Pictures,| PG-13,146.0,,Steven Spielberg,War,,"#31MostDiscussedMovieof2011 , #76MostSharedMovieof2011",72,6.8,2011-12-25
2011,,Extremely Loud and Incredibly Close,Drama,23400000.0,31847881.0,55247881.0,40000000.0,72348.0,6.0,4.1,129.0,2022-09-11 00:00:00,Historical Fiction,https://www.the-numbers.com/movie/Extremely-Loud-and-Incredibly-Close,extremely loud and incredibly close_2011,https://www.metacritic.com/movie/extremely-loud-and-incredibly-close,Extremely Loud and Incredibly Close,Warner Bros. Pictures,| PG-13,129.0,,Stephen Daldry,Drama,,#72MostDiscussedMovieof2011,46,5.9,2011-12-25
